modality,coord_dim2,contrib_dim2_%
gill-attachment__a,4.674759873859063,8.700168511866897
stalk-color-below-ring__o,4.434413191795198,7.157532000419884
stalk-color-above-ring__o,4.434413191795198,7.157532000419884
habitat__l,1.6919763144393625,4.515456254144814
population__c,2.6259380400716146,4.444650543902666
gill-color__y,5.182523112503357,4.378957205841022
veil-color__o,4.437037026546336,3.5830023526839243
veil-color__n,4.431789357044063,3.574532153637157
odor__m,6.868861837615833,3.220044082136165
ring-type__n,6.868861837615833,3.220044082136165
stalk-color-above-ring__c,6.868861837615833,3.220044082136165
stalk-color-below-ring__c,6.868861837615833,3.220044082136165
ring-number__n,6.868861837615833,3.220044082136165
gill-color__o,4.653228312480961,2.627111178123277
spore-print-color__w,0.6869758376361097,2.1365201918080388
