modality,coord_dim2,contrib_dim2_%
gill-attachment__a,4.674798486656647,8.70028076072804
stalk-color-below-ring__o,4.434600447019494,7.158110609326219
stalk-color-above-ring__o,4.434600447019494,7.158110609326219
habitat__l,1.6928015602857736,4.5198457207580995
population__c,2.6255848323823563,4.443438873468872
gill-color__y,5.180406171226806,4.375364701069895
veil-color__n,4.436147033601084,3.5815521628169122
veil-color__o,4.433053860437903,3.576559317147865
odor__m,6.86741329988356,3.2186744648985215
ring-type__n,6.86741329988356,3.2186744648985215
stalk-color-above-ring__c,6.86741329988356,3.2186744648985215
stalk-color-below-ring__c,6.86741329988356,3.2186744648985215
ring-number__n,6.86741329988356,3.2186744648985215
gill-color__o,4.656047069763704,2.630285444026044
spore-print-color__w,0.6870222794315965,2.1368013424548256
